Stock_Name,Yahoo_Symbol
Five-Star Business Finance Ltd.,FIVESTAR.NS
Force Motors Ltd.,FORCEMOT.NS
Fortis Healthcare Ltd.,FORTIS.NS
GAIL (India) Ltd.,GAIL.NS
GE Vernova T&D India Ltd.,GVT&D.NS
GMR Airports Ltd.,GMRAIRPORT.NS
Gabriel India Ltd.,GABRIEL.NS
Gallantt Ispat Ltd.,GALLANTT.NS
Garden Reach Shipbuilders & Engineers Ltd.,GRSE.NS
General Insurance Corporation of India,GICRE.NS
Gillette India Ltd.,GILLETTE.NS
Gland Pharma Ltd.,GLAND.NS
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO.NS
Glenmark Pharmaceuticals Ltd.,GLENMARK.NS
Global Health Ltd.,MEDANTA.NS
Go Digit General Insurance Ltd.,GODIGIT.NS
Godawari Power & Ispat Ltd.,GPIL.NS
Godfrey Phillips India Ltd.,GODFRYPHLP.NS
Godrej Consumer Products Ltd.,GODREJCP.NS
Godrej Industries Ltd.,GODREJIND.NS
Godrej Properties Ltd.,GODREJPROP.NS
Granules India Ltd.,GRANULES.NS
Graphite India Ltd.,GRAPHITE.NS
Grasim Industries Ltd.,GRASIM.NS
Gravita India Ltd.,GRAVITA.NS
Great Eastern Shipping Co. Ltd.,GESHIP.NS
Gujarat Fluorochemicals Ltd.,FLUOROCHEM.NS
Gujarat Mineral Development Corporation Ltd.,GMDCLTD.NS
H.E.G. Ltd.,HEG.NS
HBL Engineering Ltd.,HBLENGINE.NS
HCL Technologies Ltd.,HCLTECH.NS
HDB Financial Services Ltd.,HDBFS.NS
HDFC Asset Management Company Ltd.,HDFCAMC.NS
HDFC Bank Ltd.,HDFCBANK.NS
HDFC Life Insurance Company Ltd.,HDFCLIFE.NS
HFCL Ltd.,HFCL.NS
Havells India Ltd.,HAVELLS.NS
Hero MotoCorp Ltd.,HEROMOTOCO.NS
Hexaware Technologies Ltd.,HEXT.NS
Himadri Speciality Chemical Ltd.,HSCL.NS
Hindalco Industries Ltd.,HINDALCO.NS
Hindustan Aeronautics Ltd.,HAL.NS
Hindustan Copper Ltd.,HINDCOPPER.NS
Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS
Hindustan Unilever Ltd.,HINDUNILVR.NS
Hindustan Zinc Ltd.,HINDZINC.NS
Hitachi Energy India Ltd.,POWERINDIA.NS
Home First Finance Company India Ltd.,HOMEFIRST.NS
Honasa Consumer Ltd.,HONASA.NS
Honeywell Automation India Ltd.,HONAUT.NS
Housing & Urban Development Corporation Ltd.,HUDCO.NS
Hyundai Motor India Ltd.,HYUNDAI.NS
ICICI Bank Ltd.,ICICIBANK.NS
ICICI Lombard General Insurance Company Ltd.,ICICIGI.NS
ICICI Prudential Asset Management Company Ltd.,ICICIAMC.NS
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI.NS
IDBI Bank Ltd.,IDBI.NS
IDFC First Bank Ltd.,IDFCFIRSTB.NS
IFCI Ltd.,IFCI.NS
IIFL Finance Ltd.,IIFL.NS
IRB Infrastructure Developers Ltd.,IRB.NS
IRCON International Ltd.,IRCON.NS
ITC Hotels Ltd.,ITCHOTELS.NS
ITC Ltd.,ITC.NS
ITI Ltd.,ITI.NS
Indegene Ltd.,INDGN.NS
India Cements Ltd.,INDIACEM.NS
Indiamart Intermesh Ltd.,INDIAMART.NS
Indian Bank,INDIANB.NS
Indian Energy Exchange Ltd.,IEX.NS
Indian Hotels Co. Ltd.,INDHOTEL.NS
Indian Oil Corporation Ltd.,IOC.NS
Indian Overseas Bank,IOB.NS
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC.NS
Indian Railway Finance Corporation Ltd.,IRFC.NS
Indian Renewable Energy Development Agency Ltd.,IREDA.NS
Indraprastha Gas Ltd.,IGL.NS
Indus Towers Ltd.,INDUSTOWER.NS
IndusInd Bank Ltd.,INDUSINDBK.NS
Info Edge (India) Ltd.,NAUKRI.NS
